camis,first_inspection,last_inspection,active_days,grade,boro,score,cuisine_description,year_opened,duration_group
40366154,2024-01-31,2025-06-05,491,A,Brooklyn,12.0,Italian,2024,1-2yr
40366222,2022-10-14,2025-03-06,874,A,Manhattan,9.0,Irish,2022,2-3yr
40366230,2022-03-17,2024-05-09,784,A,Queens,12.0,Italian,2022,2-3yr
40366356,2021-08-05,2024-07-22,1082,A,Queens,13.0,American,2021,2-3yr
40366471,2022-03-10,2024-10-30,965,A,Brooklyn,2.0,American,2022,2-3yr
40366473,2022-07-07,2023-12-05,516,A,Manhattan,12.0,Seafood,2022,1-2yr
40366487,2022-01-03,2024-10-09,1010,A,Brooklyn,7.0,American,2022,2-3yr
40366497,2024-01-31,2024-12-18,322,A,Bronx,9.0,American,2024,<1yr
40366543,2022-01-19,2024-01-30,741,A,Queens,6.0,Chinese,2022,2-3yr
40366574,2022-09-13,2025-01-14,854,A,Manhattan,9.0,Irish,2022,2-3yr
40366652,2021-08-03,2024-06-13,1045,A,Brooklyn,4.0,Pizza,2021,2-3yr
40366711,2022-10-13,2024-09-26,714,A,Staten Island,7.0,American,2022,1-2yr
40366716,2022-03-10,2023-06-06,453,A,Manhattan,11.0,Chinese,2022,1-2yr
40366742,2022-03-22,2025-02-20,1066,B,Brooklyn,20.0,Bottled Beverages,2022,2-3yr
40366879,2022-11-02,2024-12-26,785,A,Queens,13.0,Latin American,2022,2-3yr
40366928,2022-08-03,2024-06-17,684,A,Staten Island,11.0,American,2022,1-2yr
40366938,2023-03-14,2025-04-28,776,B,Bronx,24.0,Coffee/Tea,2023,2-3yr
40366961,2022-03-11,2024-06-30,842,A,Brooklyn,9.0,Soul Food,2022,2-3yr
40367005,2022-08-18,2025-06-05,1022,A,Brooklyn,12.0,Pizza,2022,2-3yr
40367038,2022-01-06,2023-10-26,658,A,Manhattan,13.0,Mexican,2022,1-2yr
40367161,2022-04-14,2025-01-02,994,A,Bronx,10.0,American,2022,2-3yr
40367189,2021-07-29,2024-05-29,1035,A,Manhattan,12.0,American,2021,2-3yr
40367232,2021-07-21,2024-04-01,985,N,Queens,21.0,Irish,2021,2-3yr
