camis,first_inspection,last_inspection,active_days,grade,boro,score,cuisine_description,year_opened,duration_group
41028194,2022-02-09,2024-12-02,1027,N,Brooklyn,20.0,Bakery Products/Desserts,2022,2-3yr
41028321,2022-12-27,2025-06-17,903,A,Bronx,12.0,Pizza,2022,2-3yr
41028662,2022-04-15,2024-01-23,648,A,Manhattan,13.0,Indian,2022,1-2yr
41028791,2022-03-29,2024-08-08,863,A,Manhattan,7.0,Coffee/Tea,2022,2-3yr
41029337,2022-12-19,2025-06-20,914,A,Staten Island,2.0,Hamburgers,2022,2-3yr
41029356,2023-04-14,2023-04-14,0,A,Manhattan,10.0,American,2023,
41030615,2022-05-12,2025-02-10,1005,A,Manhattan,9.0,Italian,2022,2-3yr
41030732,2022-04-19,2024-08-28,862,A,Queens,13.0,Chinese,2022,2-3yr
41030972,2021-07-23,2023-11-24,854,A,Brooklyn,7.0,American,2021,2-3yr
41031137,2022-02-08,2024-11-22,1018,A,Manhattan,12.0,Coffee/Tea,2022,2-3yr
41031150,2023-04-25,2025-05-06,742,N,Brooklyn,28.0,Mediterranean,2023,2-3yr
41031707,2022-03-30,2024-05-21,783,A,Manhattan,13.0,French,2022,2-3yr
41031832,2022-05-25,2025-05-16,1087,A,Manhattan,9.0,French,2022,2-3yr
41032365,2022-03-09,2024-10-29,965,A,Manhattan,7.0,Middle Eastern,2022,2-3yr
41032752,2022-08-18,2025-02-19,916,A,Manhattan,13.0,Korean,2022,2-3yr
41033313,2022-06-01,2023-12-07,554,A,Manhattan,10.0,American,2022,1-2yr
41034123,2022-02-09,2024-07-03,875,A,Queens,10.0,Latin American,2022,2-3yr
41034539,2022-03-29,2024-07-17,841,A,Manhattan,12.0,American,2022,2-3yr
41035072,2021-07-21,2024-03-19,972,B,Brooklyn,24.0,American,2021,2-3yr
41035324,2022-11-07,2025-04-09,884,A,Manhattan,11.0,Coffee/Tea,2022,2-3yr
41035387,2022-11-30,2025-03-11,832,A,Manhattan,5.0,American,2022,2-3yr
41036247,2022-08-31,2025-02-18,902,A,Staten Island,12.0,Donuts,2022,2-3yr
41036291,2023-03-01,2025-05-22,813,A,Bronx,12.0,Chicken,2023,2-3yr
41037299,2022-03-28,2024-04-10,744,A,Queens,10.0,Pizza,2022,2-3yr
41037770,2022-11-16,2024-10-19,703,A,Brooklyn,7.0,American,2022,1-2yr
41037850,2022-05-23,2024-09-11,842,A,Queens,13.0,Peruvian,2022,2-3yr
41038028,2023-02-28,2025-05-20,812,A,Manhattan,13.0,Eastern European,2023,2-3yr
41038085,2022-03-03,2024-10-17,959,A,Manhattan,9.0,Hamburgers,2022,2-3yr
41038249,2022-02-07,2025-01-15,1073,N,Queens,23.0,Sandwiches,2022,2-3yr
41038600,2022-02-10,2024-06-13,854,A,Brooklyn,13.0,Pizza,2022,2-3yr
41038997,2023-01-26,2025-06-09,865,A,Queens,7.0,Donuts,2023,2-3yr
41039810,2023-01-12,2025-03-12,790,A,Brooklyn,7.0,Coffee/Tea,2023,2-3yr
41040222,2022-02-11,2024-08-14,915,A,Queens,2.0,Latin American,2022,2-3yr
41040365,2022-02-01,2024-07-30,910,A,Manhattan,12.0,American,2022,2-3yr
41040376,2022-09-26,2025-04-07,924,A,Bronx,11.0,Middle Eastern,2022,2-3yr
41040475,2022-12-06,2023-09-20,288,B,Manhattan,17.0,American,2022,<1yr
41040849,2022-01-26,2024-09-05,953,A,Manhattan,13.0,American,2022,2-3yr
41041733,2022-02-07,2025-01-24,1082,A,Brooklyn,10.0,American,2022,2-3yr
41042010,2023-04-14,2024-12-11,607,A,Manhattan,9.0,Spanish,2023,1-2yr
41042104,2023-01-20,2025-05-22,853,A,Queens,12.0,Bakery Products/Desserts,2023,2-3yr
41042416,2022-02-10,2024-06-26,867,A,Manhattan,8.0,American,2022,2-3yr
41042427,2022-03-30,2024-03-12,713,B,Manhattan,19.0,American,2022,1-2yr
41042466,2022-03-29,2024-06-27,821,A,Queens,7.0,Bagels/Pretzels,2022,2-3yr
41042983,2018-08-21,2021-07-27,1071,N,Brooklyn,23.0,American,2018,2-3yr
41043103,2022-02-09,2024-06-27,869,A,Manhattan,13.0,American,2022,2-3yr
41043971,2023-03-21,2025-05-19,790,N,Bronx,27.0,Donuts,2023,2-3yr
41044394,2022-11-14,2025-05-13,911,A,Brooklyn,7.0,Donuts,2022,2-3yr
41044538,2022-05-19,2024-04-17,699,A,Staten Island,2.0,Frozen Desserts,2022,1-2yr
41044592,2019-03-05,2022-02-18,1081,A,Manhattan,2.0,Ethiopian,2019,2-3yr
41046187,2022-10-18,2025-03-26,890,A,Manhattan,9.0,Caribbean,2022,2-3yr
41046225,2022-02-10,2024-10-04,967,A,Queens,12.0,Bottled Beverages,2022,2-3yr
41046455,2022-03-07,2024-12-09,1008,B,Manhattan,21.0,American,2022,2-3yr
41046488,2022-04-18,2025-01-14,1002,A,Manhattan,3.0,American,2022,2-3yr
41046514,2022-04-25,2024-03-25,700,A,Staten Island,4.0,American,2022,1-2yr
41046685,2022-05-24,2024-07-08,776,A,Manhattan,13.0,French,2022,2-3yr
41046913,2022-05-02,2024-11-27,940,A,Brooklyn,13.0,Jewish/Kosher,2022,2-3yr
41047105,2023-01-24,2025-04-17,814,A,Manhattan,12.0,Pizza,2023,2-3yr
41047349,2022-03-09,2025-01-14,1042,A,Manhattan,12.0,Latin American,2022,2-3yr
41047941,2021-07-19,2024-06-20,1067,A,Brooklyn,12.0,American,2021,2-3yr
41047999,2021-07-21,2024-06-25,1070,A,Manhattan,12.0,American,2021,2-3yr
41048074,2022-05-23,2024-10-29,890,N,Brooklyn,35.0,Jewish/Kosher,2022,2-3yr
41048427,2022-07-11,2025-01-28,932,A,Manhattan,4.0,Tex-Mex,2022,2-3yr
41048429,2021-07-23,2024-07-08,1081,A,Brooklyn,7.0,Tex-Mex,2021,2-3yr
41049051,2022-03-09,2023-05-17,434,A,Staten Island,10.0,American,2022,1-2yr
41049219,2022-03-14,2024-03-04,721,A,Bronx,8.0,Chicken,2022,1-2yr
41049375,2022-08-08,2024-11-04,819,A,Brooklyn,12.0,Latin American,2022,2-3yr
41049808,2021-11-05,2024-03-25,871,A,Staten Island,4.0,American,2021,2-3yr
41050020,2023-01-06,2024-10-20,653,A,Brooklyn,11.0,American,2023,1-2yr
41050171,2022-07-18,2025-02-20,948,A,Manhattan,13.0,Latin American,2022,2-3yr
41050875,2022-02-15,2025-02-13,1094,A,Manhattan,12.0,Donuts,2022,2-3yr
41050934,2021-08-09,2024-07-25,1081,A,Queens,10.0,Irish,2021,2-3yr
41051587,2022-06-15,2025-02-19,980,A,Manhattan,3.0,Donuts,2022,2-3yr
41052309,2023-05-02,2025-05-28,757,N,Brooklyn,22.0,American,2023,2-3yr
41053093,2023-02-22,2023-02-22,0,A,Manhattan,13.0,French,2023,
41053236,2023-06-23,2025-06-07,715,N,Manhattan,0.0,American,2023,1-2yr
41053329,2021-08-11,2024-04-15,978,A,Queens,11.0,Chicken,2021,2-3yr
41053864,2022-05-10,2023-12-14,583,B,Staten Island,27.0,American,2022,1-2yr
41054554,2021-07-20,2024-07-02,1078,A,Manhattan,5.0,American,2021,2-3yr
41054662,2021-07-22,2024-05-01,1014,A,Manhattan,5.0,Coffee/Tea,2021,2-3yr
41054675,2023-03-14,2025-05-23,801,N,Staten Island,21.0,Coffee/Tea,2023,2-3yr
41054695,2022-03-08,2023-10-19,590,A,Manhattan,3.0,Mexican,2022,1-2yr
41055920,2022-01-18,2024-03-04,776,A,Queens,9.0,American,2022,2-3yr
41055922,2022-11-10,2025-01-28,810,A,Queens,12.0,Donuts,2022,2-3yr
41056088,2022-03-09,2024-11-07,974,A,Manhattan,10.0,American,2022,2-3yr
41056159,2022-03-31,2023-10-26,574,B,Manhattan,17.0,Italian,2022,1-2yr
41056164,2022-04-19,2024-12-10,966,A,Manhattan,13.0,Italian,2022,2-3yr
41056253,2023-03-16,2025-01-30,686,N,Queens,21.0,American,2023,1-2yr
41056448,2021-07-30,2024-04-04,979,A,Manhattan,9.0,Chinese,2021,2-3yr
41057755,2022-02-03,2024-06-25,873,A,Queens,11.0,Italian,2022,2-3yr
41058206,2023-04-06,2025-02-18,684,A,Brooklyn,2.0,American,2023,1-2yr
41058228,2022-02-10,2024-05-23,833,A,Manhattan,12.0,Japanese,2022,2-3yr
41058883,2023-03-31,2023-03-31,0,A,Manhattan,10.0,Asian/Asian Fusion,2023,
41059145,2023-05-09,2025-05-01,723,A,Queens,11.0,Caribbean,2023,1-2yr
41059712,2022-03-07,2024-11-14,983,A,Queens,5.0,Coffee/Tea,2022,2-3yr
41060193,2022-03-10,2025-02-10,1068,A,Manhattan,12.0,Australian,2022,2-3yr
41060816,2023-05-08,2025-04-04,697,A,Manhattan,13.0,Sandwiches/Salads/Mixed Buffet,2023,1-2yr
41060947,2022-03-11,2025-01-10,1036,B,Bronx,20.0,Spanish,2022,2-3yr
41061082,2022-09-28,2025-04-17,932,A,Manhattan,13.0,Coffee/Tea,2022,2-3yr
41061355,2023-01-13,2023-01-13,0,A,Manhattan,2.0,American,2023,
41062070,2023-03-23,2025-03-20,728,A,Manhattan,9.0,Coffee/Tea,2023,1-2yr
41062076,2022-10-31,2025-04-09,891,A,Brooklyn,4.0,Coffee/Tea,2022,2-3yr
41062347,2022-03-08,2024-11-18,986,A,Brooklyn,10.0,Coffee/Tea,2022,2-3yr
41062874,2021-09-08,2024-05-15,980,A,Brooklyn,2.0,Barbecue,2021,2-3yr
41063300,2023-10-24,2025-04-24,548,N,Queens,23.0,Italian,2023,1-2yr
41063464,2021-09-08,2024-07-31,1057,A,Brooklyn,5.0,"Juice, Smoothies, Fruit Salads",2021,2-3yr
41063983,2022-08-01,2025-02-19,933,N,Manhattan,25.0,Bakery Products/Desserts,2022,2-3yr
41064439,2022-07-28,2024-06-25,698,A,Manhattan,13.0,Mexican,2022,1-2yr
41064708,2022-03-09,2024-07-19,863,A,Brooklyn,12.0,Pizza,2022,2-3yr
41064834,2022-02-07,2024-12-24,1051,A,Bronx,12.0,Hamburgers,2022,2-3yr
41064849,2022-03-09,2023-11-30,631,N,Manhattan,21.0,American,2022,1-2yr
41064863,2021-10-18,2024-05-16,941,A,Bronx,5.0,Hamburgers,2021,2-3yr
41065348,2022-02-08,2024-07-19,892,A,Manhattan,7.0,American,2022,2-3yr
41065858,2022-02-23,2024-03-27,763,A,Manhattan,10.0,Seafood,2022,2-3yr
41066599,2022-02-17,2025-01-15,1063,A,Brooklyn,0.0,Sandwiches,2022,2-3yr
41066767,2022-03-30,2024-07-11,834,A,Manhattan,12.0,American,2022,2-3yr
41066771,2022-08-31,2025-03-12,924,A,Brooklyn,5.0,Donuts,2022,2-3yr
41066841,2022-09-14,2025-06-11,1001,N,Manhattan,35.0,French,2022,2-3yr
41067497,2023-04-04,2025-03-27,723,A,Queens,13.0,Mexican,2023,1-2yr
41067502,2022-03-09,2024-11-04,971,A,Queens,7.0,Pizza,2022,2-3yr
41067696,2021-08-04,2024-07-09,1070,A,Manhattan,13.0,French,2021,2-3yr
41067996,2022-03-15,2024-10-11,941,A,Bronx,9.0,Pizza,2022,2-3yr
41068088,2022-09-17,2022-09-17,0,A,Brooklyn,5.0,American,2022,
41068312,2022-11-17,2024-06-24,585,A,Queens,12.0,Latin American,2022,1-2yr
41068451,2023-04-25,2025-06-02,769,N,Queens,24.0,Latin American,2023,2-3yr
41068567,2022-11-29,2024-05-16,534,A,Manhattan,5.0,American,2022,1-2yr
41068576,2022-03-11,2024-11-27,992,B,Bronx,23.0,American,2022,2-3yr
41068607,2022-06-07,2025-05-20,1078,N,Manhattan,101.0,Latin American,2022,2-3yr
41068920,2022-03-08,2024-02-27,721,A,Manhattan,10.0,American,2022,1-2yr
41069646,2022-03-09,2025-02-25,1084,B,Bronx,22.0,Caribbean,2022,2-3yr
41070120,2022-09-15,2024-04-13,576,A,Bronx,9.0,American,2022,1-2yr
41070857,2021-08-04,2024-07-18,1079,A,Brooklyn,8.0,Caribbean,2021,2-3yr
41071232,2022-11-28,2024-09-13,655,N,Brooklyn,32.0,American,2022,1-2yr
41071308,2016-06-15,2018-11-09,877,A,Manhattan,10.0,American,2016,2-3yr
41071907,2022-07-27,2025-05-08,1016,N,Manhattan,24.0,American,2022,2-3yr
41071980,2022-06-15,2024-06-27,743,A,Manhattan,12.0,Italian,2022,2-3yr
41072640,2022-05-06,2024-05-16,741,A,Queens,10.0,Latin American,2022,2-3yr
41072750,2022-03-09,2024-11-15,982,A,Manhattan,12.0,Pizza,2022,2-3yr
41072888,2022-12-22,2025-04-21,851,A,Manhattan,9.0,Pizza,2022,2-3yr
41072936,2022-03-30,2023-10-12,561,A,Manhattan,3.0,Bakery Products/Desserts,2022,1-2yr
41073304,2022-03-08,2023-10-06,577,A,Queens,9.0,American,2022,1-2yr
41073493,2022-03-08,2024-09-10,917,A,Staten Island,6.0,Italian,2022,2-3yr
41073604,2022-01-11,2024-08-20,952,A,Manhattan,13.0,Bakery Products/Desserts,2022,2-3yr
41073631,2022-03-25,2024-09-29,919,A,Queens,13.0,Irish,2022,2-3yr
41073979,2021-07-29,2024-05-21,1027,A,Manhattan,7.0,American,2021,2-3yr
41074013,2022-01-11,2024-02-20,770,A,Manhattan,13.0,American,2022,2-3yr
41074128,2022-09-12,2025-05-27,988,A,Queens,10.0,Irish,2022,2-3yr
41074207,2023-04-21,2024-08-20,487,A,Manhattan,7.0,American,2023,1-2yr
41074315,2022-03-09,2024-11-06,973,B,Manhattan,22.0,American,2022,2-3yr
41074503,2022-07-14,2025-01-02,903,A,Queens,12.0,Bakery Products/Desserts,2022,2-3yr
41075211,2023-01-20,2024-10-09,628,A,Brooklyn,2.0,Japanese,2023,1-2yr
41075909,2022-03-10,2024-10-16,951,A,Queens,10.0,Chinese,2022,2-3yr
41075977,2021-08-24,2024-06-13,1024,A,Manhattan,11.0,Spanish,2021,2-3yr
41076171,2023-11-30,2025-05-05,522,A,Queens,12.0,Frozen Desserts,2023,1-2yr
41076181,2023-02-02,2025-05-15,833,Z,Queens,21.0,Chinese,2023,2-3yr
41076314,2022-03-10,2024-09-18,923,N,Manhattan,42.0,American,2022,2-3yr
41076499,2022-02-04,2024-10-22,991,A,Queens,12.0,Bakery Products/Desserts,2022,2-3yr
41076903,2022-03-14,2024-12-07,999,A,Bronx,12.0,Caribbean,2022,2-3yr
41076966,2022-03-11,2024-07-03,845,A,Bronx,12.0,Chicken,2022,2-3yr
41076970,2021-07-19,2024-06-17,1064,A,Brooklyn,7.0,Donuts,2021,2-3yr
41077301,2023-03-01,2024-11-26,636,A,Manhattan,12.0,Middle Eastern,2023,1-2yr
41077320,2022-01-13,2024-12-23,1075,A,Brooklyn,2.0,Bakery Products/Desserts,2022,2-3yr
41077507,2023-10-20,2025-05-07,565,N,Bronx,41.0,Latin American,2023,1-2yr
41077631,2022-04-20,2023-02-09,295,Z,Manhattan,2.0,Indian,2022,<1yr
41078099,2022-04-06,2025-02-03,1034,B,Manhattan,20.0,Pizza,2022,2-3yr
41078266,2022-10-26,2024-05-02,554,A,Queens,5.0,Korean,2022,1-2yr
41079528,2023-05-02,2025-03-06,674,A,Manhattan,10.0,Italian,2023,1-2yr
41080215,2022-05-19,2024-08-14,818,A,Bronx,9.0,Peruvian,2022,2-3yr
41080427,2022-04-04,2024-07-01,819,A,Bronx,12.0,Caribbean,2022,2-3yr
41080814,2022-03-10,2024-11-20,986,A,Brooklyn,10.0,Jewish/Kosher,2022,2-3yr
41081510,2022-01-03,2024-10-31,1032,N,Manhattan,21.0,Salads,2022,2-3yr
41081705,2023-04-26,2025-03-28,702,B,Queens,20.0,Irish,2023,1-2yr
41081933,2022-03-11,2024-06-25,837,N,Bronx,21.0,Coffee/Tea,2022,2-3yr
41083266,2022-09-29,2025-05-27,971,A,Queens,13.0,Sandwiches,2022,2-3yr
41083735,2022-03-08,2025-01-15,1044,A,Bronx,7.0,Mexican,2022,2-3yr
41083785,2022-02-28,2024-12-30,1036,A,Brooklyn,13.0,Pakistani,2022,2-3yr
41083927,2022-05-24,2024-11-27,918,A,Manhattan,12.0,French,2022,2-3yr
41084188,2023-05-25,2023-05-25,0,A,Manhattan,10.0,Italian,2023,
41084481,2022-04-12,2025-01-16,1010,A,Manhattan,12.0,Chinese,2022,2-3yr
41084776,2022-03-29,2024-10-15,931,A,Manhattan,12.0,Tex-Mex,2022,2-3yr
41085065,2022-01-18,2024-12-12,1059,A,Brooklyn,10.0,American,2022,2-3yr
41085105,2022-03-07,2024-10-03,941,A,Manhattan,11.0,Vegetarian,2022,2-3yr
41085439,2021-07-20,2024-03-20,974,A,Brooklyn,10.0,Bakery Products/Desserts,2021,2-3yr
41086217,2022-09-21,2025-06-11,994,N,Staten Island,24.0,American,2022,2-3yr
41086368,2023-01-19,2025-03-13,784,A,Queens,13.0,Latin American,2023,2-3yr
41086575,2022-03-07,2024-12-17,1016,A,Bronx,10.0,Donuts,2022,2-3yr
41086655,2022-03-22,2024-04-23,763,A,Brooklyn,12.0,Vegetarian,2022,2-3yr
41086673,2022-11-18,2023-09-22,308,A,Brooklyn,5.0,Italian,2022,<1yr
41086770,2022-03-09,2024-12-12,1009,A,Manhattan,4.0,American,2022,2-3yr
41086843,2022-12-08,2025-06-04,909,N,Queens,34.0,Chinese,2022,2-3yr
41086895,2022-02-14,2024-05-17,823,A,Manhattan,5.0,Tex-Mex,2022,2-3yr
41086967,2022-11-17,2025-05-15,910,N,Manhattan,31.0,Italian,2022,2-3yr
41087130,2022-03-23,2024-12-10,993,A,Manhattan,12.0,American,2022,2-3yr
41088457,2022-07-22,2024-07-29,738,A,Manhattan,13.0,Coffee/Tea,2022,2-3yr
41088798,2022-03-09,2024-07-18,862,A,Brooklyn,13.0,Jewish/Kosher,2022,2-3yr
41088825,2022-10-19,2024-10-13,725,A,Queens,12.0,Latin American,2022,1-2yr
41089821,2023-11-29,2023-11-29,0,A,Staten Island,13.0,Italian,2023,
41089834,2022-01-13,2024-07-17,916,A,Manhattan,12.0,American,2022,2-3yr
41089876,2022-04-20,2024-11-25,950,B,Manhattan,15.0,American,2022,2-3yr
41090020,2022-07-08,2025-04-04,1001,A,Brooklyn,7.0,Coffee/Tea,2022,2-3yr
41090082,2021-07-22,2024-04-17,1000,A,Brooklyn,10.0,American,2021,2-3yr
41090127,2022-04-06,2023-10-31,573,N,Bronx,19.0,Italian,2022,1-2yr
41090212,2023-03-31,2024-11-12,592,A,Manhattan,10.0,Caribbean,2023,1-2yr
41090838,2022-01-03,2024-12-18,1080,A,Queens,10.0,Frozen Desserts,2022,2-3yr
41090957,2022-07-11,2023-12-26,533,B,Manhattan,24.0,Italian,2022,1-2yr
41091113,2022-01-19,2024-03-14,785,A,Bronx,0.0,Latin American,2022,2-3yr
41091215,2023-05-19,2023-05-19,0,A,Manhattan,10.0,French,2023,
41091944,2022-05-27,2024-10-03,860,A,Manhattan,7.0,American,2022,2-3yr
41092078,2023-04-25,2024-10-24,548,A,Manhattan,13.0,Scandinavian,2023,1-2yr
41092403,2022-04-19,2025-02-03,1021,A,Manhattan,13.0,American,2022,2-3yr
41092609,2022-04-11,2024-10-15,918,A,Manhattan,13.0,American,2022,2-3yr
41092640,2023-05-22,2025-05-08,717,A,Brooklyn,13.0,Russian,2023,1-2yr
41092840,2022-02-09,2024-07-18,890,A,Brooklyn,12.0,Mediterranean,2022,2-3yr
41092947,2023-01-30,2025-06-02,854,N,Staten Island,23.0,Spanish,2023,2-3yr
41094023,2019-06-08,2022-03-28,1024,A,Queens,12.0,American,2019,2-3yr
41094080,2022-09-14,2025-05-19,978,N,Brooklyn,36.0,Caribbean,2022,2-3yr
41094277,2022-07-18,2024-08-12,756,A,Bronx,9.0,Hamburgers,2022,2-3yr
41095221,2022-05-05,2024-11-19,929,A,Queens,10.0,Greek,2022,2-3yr
41096100,2022-04-06,2024-01-30,664,A,Manhattan,7.0,French,2022,1-2yr
41096117,2022-09-15,2024-06-04,628,A,Manhattan,13.0,Japanese,2022,1-2yr
41096461,2023-02-07,2024-03-13,400,A,Manhattan,9.0,Irish,2023,1-2yr
41096631,2022-06-02,2024-10-24,875,A,Bronx,9.0,Bottled Beverages,2022,2-3yr
41096895,2022-04-04,2024-10-25,935,A,Manhattan,6.0,Hamburgers,2022,2-3yr
41097973,2022-10-31,2024-10-08,708,N,Brooklyn,12.0,Bakery Products/Desserts,2022,1-2yr
41098073,2022-03-22,2025-01-21,1036,A,Manhattan,13.0,American,2022,2-3yr
41098607,2021-07-20,2024-05-14,1029,A,Manhattan,5.0,American,2021,2-3yr
41098650,2022-01-26,2024-12-09,1048,A,Queens,9.0,Bakery Products/Desserts,2022,2-3yr
41098952,2023-03-16,2025-03-31,746,A,Manhattan,13.0,Tex-Mex,2023,2-3yr
41098956,2023-04-11,2025-04-07,727,A,Manhattan,4.0,Tex-Mex,2023,1-2yr
41098989,2022-11-29,2025-05-15,898,A,Bronx,3.0,Hamburgers,2022,2-3yr
41098999,2022-12-22,2025-04-09,839,A,Bronx,9.0,Hamburgers,2022,2-3yr
41099225,2022-01-11,2024-02-08,758,A,Staten Island,10.0,Bakery Products/Desserts,2022,2-3yr
41099497,2023-04-10,2025-05-16,767,N,Queens,31.0,Caribbean,2023,2-3yr
41099763,2022-03-17,2024-04-20,765,A,Bronx,13.0,Japanese,2022,2-3yr
41100265,2025-03-19,2025-05-01,43,Z,Queens,26.0,American,2025,<1yr
41100350,2021-08-24,2024-03-21,940,A,Manhattan,12.0,American,2021,2-3yr
41100434,2022-06-23,2025-06-05,1078,A,Queens,12.0,Indian,2022,2-3yr
41100502,2022-05-25,2024-11-18,908,A,Queens,7.0,Spanish,2022,2-3yr
41100740,2022-09-28,2025-01-27,852,Z,Manhattan,21.0,French,2022,2-3yr
41100958,2022-05-26,2024-12-04,923,A,Manhattan,9.0,French,2022,2-3yr
41101595,2023-03-13,2024-07-09,484,N,Manhattan,15.0,Pizza,2023,1-2yr
41101600,2022-08-19,2025-03-25,949,A,Brooklyn,13.0,American,2022,2-3yr
41101900,2022-09-30,2024-12-13,805,A,Manhattan,11.0,Coffee/Tea,2022,2-3yr
41102075,2023-03-04,2025-01-17,685,A,Brooklyn,10.0,Spanish,2023,1-2yr
41102997,2021-09-08,2023-05-26,625,A,Manhattan,11.0,American,2021,1-2yr
41103052,2016-04-29,2018-08-10,833,N,Queens,20.0,American,2016,2-3yr
41103208,2023-06-22,2025-06-10,719,N,Manhattan,46.0,French,2023,1-2yr
41104417,2016-06-02,2019-04-24,1056,A,Manhattan,7.0,American,2016,2-3yr
41104863,2022-08-01,2024-06-08,677,A,Manhattan,12.0,American,2022,1-2yr
41105041,2022-01-10,2024-08-28,961,A,Brooklyn,5.0,Bakery Products/Desserts,2022,2-3yr
41105180,2021-08-05,2024-02-01,910,A,Manhattan,11.0,Indian,2021,2-3yr
41105288,2022-03-28,2024-09-11,898,A,Brooklyn,13.0,Donuts,2022,2-3yr
41105300,2022-08-26,2025-02-10,899,A,Brooklyn,6.0,American,2022,2-3yr
41105415,2022-01-20,2024-10-31,1015,A,Brooklyn,12.0,Caribbean,2022,2-3yr
41105572,2022-08-10,2025-06-20,1045,A,Queens,12.0,Latin American,2022,2-3yr
41105644,2022-03-29,2024-06-04,798,N,Manhattan,23.0,American,2022,2-3yr
41106233,2021-08-10,2024-05-06,1000,N,Manhattan,9.0,Sandwiches,2021,2-3yr
41106459,2022-06-24,2025-05-28,1069,A,Staten Island,5.0,Donuts,2022,2-3yr
41106644,2023-01-06,2025-05-01,846,A,Manhattan,4.0,Coffee/Tea,2023,2-3yr
41106653,2022-09-01,2024-11-26,817,A,Queens,12.0,American,2022,2-3yr
41106672,2022-10-24,2025-02-20,850,A,Brooklyn,9.0,Latin American,2022,2-3yr
41106681,2022-10-31,2025-05-13,925,A,Brooklyn,2.0,Coffee/Tea,2022,2-3yr
41107259,2022-03-31,2024-12-24,999,B,Queens,25.0,Irish,2022,2-3yr
41107447,2022-07-07,2025-02-28,967,A,Brooklyn,12.0,Donuts,2022,2-3yr
41108006,2022-03-31,2024-01-05,645,A,Queens,13.0,Chinese,2022,1-2yr
41108012,2022-03-02,2025-01-27,1062,A,Queens,9.0,Caribbean,2022,2-3yr
41108068,2022-03-31,2024-07-03,825,A,Queens,3.0,Mexican,2022,2-3yr
41108575,2024-07-02,2024-07-02,0,A,Queens,12.0,American,2024,
41108957,2023-03-31,2025-01-29,670,A,Brooklyn,12.0,Mexican,2023,1-2yr
41109162,2022-10-14,2024-10-26,743,N,Brooklyn,10.0,American,2022,2-3yr
41109275,2022-10-26,2025-05-20,937,A,Brooklyn,6.0,Bakery Products/Desserts,2022,2-3yr
41109381,2022-01-10,2024-03-28,808,A,Manhattan,3.0,Pizza,2022,2-3yr
41109649,2023-05-18,2023-05-18,0,A,Bronx,2.0,Frozen Desserts,2023,
41109700,2022-06-08,2025-03-04,1000,A,Queens,3.0,American,2022,2-3yr
41110390,2022-09-28,2025-01-15,840,N,Manhattan,26.0,Asian/Asian Fusion,2022,2-3yr
41110540,2022-03-30,2024-03-18,719,A,Brooklyn,5.0,Pizza,2022,1-2yr
41111038,2021-12-10,2024-08-28,992,A,Brooklyn,7.0,Bakery Products/Desserts,2021,2-3yr
41111237,2022-06-15,2023-11-30,533,A,Manhattan,5.0,American,2022,1-2yr
41111464,2022-04-19,2024-12-05,961,A,Brooklyn,11.0,Asian/Asian Fusion,2022,2-3yr
41112470,2021-12-15,2024-02-20,797,A,Brooklyn,9.0,Pizza,2021,2-3yr
41112524,2022-03-10,2024-06-12,825,A,Manhattan,12.0,Italian,2022,2-3yr
41112530,2021-08-02,2024-07-22,1085,N,Staten Island,32.0,American,2021,2-3yr
41112797,2022-08-26,2024-08-29,734,A,Brooklyn,8.0,Bakery Products/Desserts,2022,2-3yr
41114768,2022-02-07,2024-11-26,1023,A,Manhattan,5.0,American,2022,2-3yr
41115745,2022-02-14,2025-02-13,1095,A,Brooklyn,10.0,Mexican,2022,2-3yr
41115762,2022-10-14,2025-05-13,942,N,Queens,34.0,Caribbean,2022,2-3yr
41116575,2021-11-29,2024-08-15,990,A,Brooklyn,13.0,Bakery Products/Desserts,2021,2-3yr
41116617,2022-12-14,2024-10-17,673,A,Queens,12.0,Frozen Desserts,2022,1-2yr
41117086,2022-01-20,2024-01-23,733,A,Manhattan,10.0,Mexican,2022,2-3yr
41117350,2022-08-19,2025-05-12,997,A,Queens,9.0,Chicken,2022,2-3yr
41117553,2022-03-29,2024-07-02,826,A,Manhattan,12.0,Italian,2022,2-3yr
41117663,2021-07-20,2023-03-11,599,A,Queens,12.0,American,2021,1-2yr
41117739,2022-02-17,2024-07-22,886,A,Manhattan,13.0,American,2022,2-3yr
41117795,2022-03-31,2024-09-09,893,N,Manhattan,0.0,Latin American,2022,2-3yr
41118126,2021-08-05,2024-07-17,1077,N,Queens,27.0,Vegetarian,2021,2-3yr
41118203,2022-03-10,2024-09-06,911,A,Bronx,10.0,Bakery Products/Desserts,2022,2-3yr
41118287,2022-09-08,2025-03-13,917,A,Queens,13.0,Spanish,2022,2-3yr
41118794,2021-07-20,2024-01-30,924,A,Brooklyn,2.0,Mexican,2021,2-3yr
41118839,2022-02-17,2024-10-01,957,N,Manhattan,27.0,Japanese,2022,2-3yr
41119200,2022-09-15,2022-09-15,0,A,Bronx,9.0,Caribbean,2022,
41119269,2023-04-10,2025-05-05,756,N,Queens,23.0,Indian,2023,2-3yr
41120276,2022-03-30,2024-10-28,943,A,Bronx,10.0,Eastern European,2022,2-3yr
41120682,2022-02-15,2024-12-27,1046,A,Manhattan,8.0,Italian,2022,2-3yr
41120866,2022-03-28,2025-01-29,1038,A,Manhattan,13.0,Mexican,2022,2-3yr
