year_month,avg_score
2015-09,27.4
2015-10,4.0
2015-11,12.5
2015-12,21.0
2016-01,6.0
2016-02,19.4
2016-03,11.0
2016-04,7.875
2016-05,19.325581395348838
2016-06,10.837837837837839
2016-07,10.0
2016-08,16.136363636363637
2016-09,21.764705882352942
2016-10,14.558823529411764
2016-11,10.521739130434783
2016-12,12.24
2017-01,9.157894736842104
2017-02,12.634615384615385
2017-03,14.255813953488373
2017-04,10.0
2017-05,23.42105263157895
2017-06,13.12
2017-07,18.2
2017-08,13.71830985915493
2017-09,13.208333333333334
2017-10,20.951219512195124
2017-11,14.526315789473685
2017-12,13.16
2018-01,17.208333333333332
2018-02,15.361702127659575
2018-03,13.857142857142858
2018-04,15.475409836065573
2018-05,19.956989247311828
2018-06,21.37125748502994
2018-07,21.346153846153847
2018-08,15.878787878787879
2018-09,15.115384615384615
2018-10,16.644736842105264
2018-11,13.80952380952381
2018-12,11.136363636363637
2019-01,22.607142857142858
2019-02,18.85483870967742
2019-03,22.17829457364341
2019-04,21.20967741935484
2019-05,18.34426229508197
2019-06,18.60919540229885
2019-07,16.941176470588236
2019-08,18.94736842105263
2019-09,20.761904761904763
2019-10,31.511363636363637
2019-11,25.596153846153847
2019-12,13.476923076923077
2020-01,23.375
2020-02,25.428044280442805
2020-03,20.142857142857142
2021-02,21.0
2021-03,21.0
2021-04,21.0
2021-05,21.0
2021-06,21.0
2021-07,17.15547703180212
2021-08,19.12119748913568
2021-09,22.256325632563257
2021-10,24.010714285714286
2021-11,22.166822867853796
2021-12,19.856685348278624
2022-01,19.895279774929666
2022-02,17.902852049910873
2022-03,19.205267090026148
2022-04,19.985308147300135
2022-05,20.632636122177956
2022-06,20.694759206798867
2022-07,21.380434782608695
2022-08,20.386711281070745
2022-09,19.868672311295263
2022-10,22.92191221503913
2022-11,22.542117001200893
2022-12,22.88857395925598
2023-01,23.348693865570883
2023-02,23.082324816972957
2023-03,22.325331648768163
2023-04,22.508040739748058
2023-05,22.540857032556943
2023-06,23.01603448275862
2023-07,29.509858442871586
2023-08,27.768552253116013
2023-09,26.12838836865451
2023-10,24.442706370147004
2023-11,24.305436643835616
2023-12,25.419090231170767
2024-01,25.311534081665855
2024-02,24.322357343311506
2024-03,23.614535290006987
2024-04,24.157117216622947
2024-05,25.15848923402753
2024-06,26.085295252798147
2024-07,27.679729908645573
2024-08,28.662961492655814
2024-09,27.341150557139155
2024-10,25.79466880448943
2024-11,25.662378541124948
2024-12,25.465296858200933
2025-01,24.808495145631067
2025-02,24.460096735187424
2025-03,29.875612144955927
2025-04,28.864266242616992
2025-05,26.742274337364115
2025-06,28.449713495356647
