year_month,avg_score
2015-09-01,27.4
2015-10-01,4.0
2015-11-01,12.5
2015-12-01,21.0
2016-01-01,6.0
2016-02-01,19.4
2016-03-01,11.0
2016-04-01,7.875
2016-05-01,19.32558139534884
2016-06-01,10.83783783783784
2016-07-01,10.0
2016-08-01,16.136363636363637
2016-09-01,21.764705882352946
2016-10-01,14.558823529411764
2016-11-01,10.521739130434783
2016-12-01,12.24
2017-01-01,9.157894736842104
2017-02-01,12.634615384615383
2017-03-01,14.255813953488373
2017-04-01,10.0
2017-05-01,23.42105263157895
2017-06-01,13.12
2017-07-01,18.2
2017-08-01,13.71830985915493
2017-09-01,13.208333333333334
2017-10-01,20.951219512195124
2017-11-01,14.526315789473683
2017-12-01,13.16
2018-01-01,17.208333333333332
2018-02-01,15.361702127659576
2018-03-01,13.857142857142858
2018-04-01,15.475409836065571
2018-05-01,19.956989247311828
2018-06-01,21.37125748502994
2018-07-01,21.346153846153847
2018-08-01,15.87878787878788
2018-09-01,15.115384615384617
2018-10-01,16.644736842105264
2018-11-01,13.80952380952381
2018-12-01,11.136363636363637
2019-01-01,22.607142857142858
2019-02-01,18.85483870967742
2019-03-01,22.17829457364341
2019-04-01,21.20967741935484
2019-05-01,18.34426229508197
2019-06-01,18.60919540229885
2019-07-01,16.941176470588236
2019-08-01,18.94736842105263
2019-09-01,20.761904761904763
2019-10-01,31.51136363636364
2019-11-01,25.596153846153847
2019-12-01,13.476923076923075
2020-01-01,23.375
2020-02-01,25.428044280442805
2020-03-01,20.142857142857142
2021-02-01,21.0
2021-03-01,21.0
2021-04-01,21.0
2021-05-01,21.0
2021-06-01,21.0
2021-07-01,17.15547703180212
2021-08-01,19.12119748913568
2021-09-01,22.256325632563257
2021-10-01,24.01071428571429
2021-11-01,22.1668228678538
2021-12-01,19.856685348278624
2022-01-01,19.895279774929666
2022-02-01,17.902852049910873
2022-03-01,19.205267090026148
2022-04-01,19.98530814730013
2022-05-01,20.63263612217796
2022-06-01,20.694759206798867
2022-07-01,21.380434782608692
2022-08-01,20.386711281070745
2022-09-01,19.868672311295263
2022-10-01,22.92191221503913
2022-11-01,22.542117001200893
2022-12-01,22.88857395925598
2023-01-01,23.348693865570883
2023-02-01,23.08232481697296
2023-03-01,22.325331648768163
2023-04-01,22.508040739748058
2023-05-01,22.540857032556943
2023-06-01,23.01603448275862
2023-07-01,29.509858442871582
2023-08-01,27.768552253116013
2023-09-01,26.12838836865451
2023-10-01,24.442706370147004
2023-11-01,24.305436643835616
2023-12-01,25.419090231170767
2024-01-01,25.31153408166585
2024-02-01,24.322357343311506
2024-03-01,23.614535290006987
2024-04-01,24.157117216622947
2024-05-01,25.15848923402753
2024-06-01,26.085295252798147
2024-07-01,27.679729908645573
2024-08-01,28.66296149265581
2024-09-01,27.341150557139155
2024-10-01,25.79466880448943
2024-11-01,25.662378541124948
2024-12-01,25.465296858200933
2025-01-01,24.808495145631067
2025-02-01,24.460096735187424
2025-03-01,29.875612144955927
2025-04-01,28.864266242616992
2025-05-01,26.742274337364115
2025-06-01,28.449713495356647
